Avance|FechaAvance|Partido|TotalVotos|PerValidos|PerEmitidos
85.157|07/06/2021 03:48 h|VOTOS NULOS|945,234|0|5.682
86.345|07/06/2021 04:18 h|FUERZA POPULAR|7,980,723|50.586|47.397
86.345|07/06/2021 04:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|7,795,813|49.414|46.298
86.345|07/06/2021 04:18 h|TOTAL DE VOTOS EMITIDOS|16,838,188|0|100.000
86.345|07/06/2021 04:18 h|TOTAL DE VOTOS VÁLIDOS|15,776,536|100.000|93.695
86.345|07/06/2021 04:18 h|VOTOS EN BLANCO|105,323|0|0.626
86.345|07/06/2021 04:18 h|VOTOS NULOS|956,329|0|5.680
87.528|07/06/2021 04:48 h|FUERZA POPULAR|8,071,981|50.506|47.323
87.528|07/06/2021 04:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|7,910,102|49.494|46.374
87.528|07/06/2021 04:48 h|TOTAL DE VOTOS EMITIDOS|17,057,043|0|100.000
87.528|07/06/2021 04:48 h|TOTAL DE VOTOS VÁLIDOS|15,982,083|100.000|93.698
87.528|07/06/2021 04:48 h|VOTOS EN BLANCO|107,187|0|0.628
87.528|07/06/2021 04:48 h|VOTOS NULOS|967,773|0|5.674
88.223|07/06/2021 05:18 h|FUERZA POPULAR|8,117,231|50.420|47.241
88.223|07/06/2021 05:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|7,982,115|49.580|46.455
88.223|07/06/2021 05:18 h|TOTAL DE VOTOS EMITIDOS|17,182,481|0|100.000
88.223|07/06/2021 05:18 h|TOTAL DE VOTOS VÁLIDOS|16,099,346|100.000|93.696
88.223|07/06/2021 05:18 h|VOTOS EN BLANCO|108,271|0|0.630
88.223|07/06/2021 05:18 h|VOTOS NULOS|974,864|0|5.674
88.698|07/06/2021 05:48 h|FUERZA POPULAR|8,143,742|50.353|47.178
88.698|07/06/2021 05:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,029,577|49.647|46.517
